,time,geo,income,salary,employees
99,2017,Malta,16525.636363636364,16465.199999999997,25273.0
100,2017,Netherlands,26819.727272727272,31100.4,109251.0
101,2017,Poland,6824.636363636364,11100.0,22119.0
102,2017,Portugal,11139.272727272728,18482.4,96760.0
103,2017,Romania,3156.0,4603.2,13191.0
104,2017,Slovakia,7693.727272727273,13380.0,36411.0
105,2017,Slovenia,13744.727272727272,18220.800000000003,19369.0
106,2017,Spain,17384.81818181818,33008.399999999994,36864.0
107,2017,Sweden,29773.18181818182,34591.2,63396.0
108,2018,Austria,29820.090909090908,32530.800000000003,18443.0
109,2018,Belgium,26075.727272727272,33861.600000000006,10719.0
110,2018,Bulgaria,4744.363636363636,8774.4,36218.0
111,2018,Croatia,7423.272727272727,11485.2,14164.0
112,2018,Cyprus,18573.727272727272,27028.8,8551.0
113,2018,Czechia,10149.636363636364,20880.0,20995.0
114,2018,Denmark,34924.90909090909,43527.600000000006,10577.0
115,2018,Estonia,11945.454545454546,25737.6,6508.0
116,2018,Finland,28489.272727272728,39877.2,29064.0
117,2018,France,27062.81818181818,28266.0,263200.0
118,2018,Germany,26022.81818181818,48550.8,17042.0
119,2018,Greece,9470.09090909091,12076.8,75905.0
120,2018,Hungary,6280.636363636364,10537.2,14867.0
121,2018,Ireland,29736.545454545456,35319.6,28091.0
122,2018,Italy,20568.545454545456,20311.2,141977.0
123,2018,Latvia,8855.90909090909,13596.0,16480.0
124,2018,Lithuania,8501.181818181818,11016.0,13968.0
125,2018,Luxembourg,46429.0,71754.0,938.0
126,2018,Malta,16797.636363636364,16959.6,25273.0
127,2018,Netherlands,27549.36363636364,31975.2,118251.0
128,2018,Poland,7332.181818181818,10947.6,22473.0
129,2018,Portugal,11290.727272727272,18627.6,99896.0
130,2018,Romania,3941.181818181818,4520.4,13191.0
131,2018,Slovakia,8099.909090909091,15214.8,37306.0
132,2018,Slovenia,14301.363636363636,18625.2,19854.0
133,2018,Spain,17901.272727272728,32703.6,36707.0
134,2018,Sweden,29762.90909090909,33333.6,66535.0
135,2019,Austria,30878.636363636364,33296.4,16863.0
136,2019,Belgium,27432.454545454544,34406.4,11389.0
137,2019,Bulgaria,5680.727272727273,9429.6,37010.0
