"TIME","GEO","STATINFO","UNIT","Value"
"2016S2","Cyprus","Total","Number","8,728"
"2016S2","Latvia","Total","Number","4,266"
"2016S2","Lithuania","Total","Number","15,619"
"2016S2","Luxembourg","Total","Number","958"
"2016S2","Hungary","Total","Number","16,955"
"2016S2","Malta","Total","Number","25,273"
"2016S2","Netherlands","Total","Number","109,053"
"2016S2","Austria","Total","Number","20,393"
"2016S2","Poland","Total","Number","22,156"
"2016S2","Portugal","Total","Number","95,335"
"2016S2","Romania","Total","Number","13,191"
"2016S2","Slovenia","Total","Number","18,988"
"2016S2","Slovakia","Total","Number","36,411"
"2016S2","Finland","Total","Number","28,948"
"2016S2","Sweden","Total","Number","61,052"
"2016S2","United Kingdom","Total","Number","307,850"
"2017S2","Belgium","Total","Number","23,958"
"2017S2","Bulgaria","Total","Number","35,642"
"2017S2","Czechia","Total","Number","19,003"
"2017S2","Denmark","Total","Number","11,155"
"2017S2","Germany (until 1990 former territory of the FRG)","Total","Number","16,790"
"2017S2","Estonia","Total","Number","6,634"
"2017S2","Ireland","Total","Number","26,250"
"2017S2","Greece","Total","Number","70,560"
"2017S2","Spain","Total","Number","36,864"
"2017S2","France","Total","Number","27,306"
"2017S2","Croatia","Total","Number","12,407"
"2017S2","Italy","Total","Number","144,817"
"2017S2","Cyprus","Total","Number","8,615"
"2017S2","Latvia","Total","Number","4,216"
"2017S2","Lithuania","Total","Number","15,133"
"2017S2","Luxembourg","Total","Number","970"
"2017S2","Hungary","Total","Number","14,236"
"2017S2","Malta","Total","Number","25,273"
"2017S2","Netherlands","Total","Number","109,251"
"2017S2","Austria","Total","Number","18,987"
"2017S2","Poland","Total","Number","22,119"
"2017S2","Portugal","Total","Number","96,760"
"2017S2","Romania","Total","Number","13,191"
"2017S2","Slovenia","Total","Number","19,369"
"2017S2","Slovakia","Total","Number","36,411"
"2017S2","Finland","Total","Number","28,704"
"2017S2","Sweden","Total","Number","63,396"
"2017S2","United Kingdom","Total","Number","417,925"
"2018S2","Belgium","Total","Number","10,719"
"2018S2","Bulgaria","Total","Number","36,218"
"2018S2","Czechia","Total","Number","20,995"
"2018S2","Denmark","Total","Number","10,577"
"2018S2","Germany (until 1990 former territory of the FRG)","Total","Number","17,042"
"2018S2","Estonia","Total","Number","6,508"
"2018S2","Ireland","Total","Number","28,091"
"2018S2","Greece","Total","Number","75,905"
"2018S2","Spain","Total","Number","36,707"
"2018S2","France","Total","Number","263,200"
"2018S2","Croatia","Total","Number","14,164"
"2018S2","Italy","Total","Number","141,977"
"2018S2","Cyprus","Total","Number","8,551"
"2018S2","Latvia","Total","Number","16,480"
"2018S2","Lithuania","Total","Number","13,968"
"2018S2","Luxembourg","Total","Number","938"
"2018S2","Hungary","Total","Number","14,867"
"2018S2","Malta","Total","Number","25,273"
"2018S2","Netherlands","Total","Number","118,251"
"2018S2","Austria","Total","Number","18,443"
"2018S2","Poland","Total","Number","22,473"
"2018S2","Portugal","Total","Number","99,896"
"2018S2","Romania","Total","Number","13,191"
"2018S2","Slovenia","Total","Number","19,854"
"2018S2","Slovakia","Total","Number","37,306"
"2018S2","Finland","Total","Number","29,064"
"2018S2","Sweden","Total","Number","66,535"
"2018S2","United Kingdom","Total","Number","419,399"
"2019S2","Belgium","Total","Number","11,389"
"2019S2","Bulgaria","Total","Number","37,010"
"2019S2","Czechia","Total","Number","21,672"
"2019S2","Denmark","Total","Number","11,493"
"2019S2","Germany (until 1990 former territory of the FRG)","Total","Number","18,383"
"2019S2","Estonia","Total","Number","6,459"
"2019S2","Ireland","Total","Number","29,393"
"2019S2","Greece","Total","Number","75,112"
"2019S2","Spain","Total","Number","36,981"
"2019S2","France","Total","Number","263,849"
"2019S2","Croatia","Total","Number","14,907"
"2019S2","Italy","Total","Number","134,374"
"2019S2","Cyprus","Total","Number","8,617"
"2019S2","Latvia","Total","Number","13,606"
"2019S2","Lithuania","Total","Number","13,933"
"2019S2","Luxembourg","Total","Number","966"
"2019S2","Hungary","Total","Number","15,042"
"2019S2","Malta","Total","Number","27,852"
"2019S2","Netherlands","Total","Number","121,291"
"2019S2","Austria","Total","Number","16,863"
"2019S2","Poland","Total","Number","22,719"
"2019S2","Portugal","Total","Number","101,104"
"2019S2","Romania","Total","Number","13,191"
"2019S2","Slovenia","Total","Number","19,945"
"2019S2","Slovakia","Total","Number","37,306"
"2019S2","Finland","Total","Number","29,003"
"2019S2","Sweden","Total","Number","66,409"
"2019S2","United Kingdom","Total","Number","429,989"
"2020S2","Belgium","Total","Number","14,321"
"2020S2","Bulgaria","Total","Number","35,470"
"2020S2","Czechia","Total","Number","21,901"
"2020S2","Denmark","Total","Number","12,197"
"2020S2","Germany (until 1990 former territory of the FRG)","Total","Number","19,369"
"2020S2","Estonia","Total","Number","6,424"
"2020S2","Ireland","Total","Number","29,342"
"2020S2","Greece","Total","Number","74,661"
"2020S2","Spain","Total","Number","37,290"
"2020S2","France","Total","Number","264,104"
"2020S2","Croatia","Total","Number","12,211"
"2020S2","Italy","Total","Number","132,280"
"2020S2","Cyprus","Total","Number","8,746"
"2020S2","Latvia","Total","Number","13,659"
"2020S2","Lithuania","Total","Number","13,597"
"2020S2","Luxembourg","Total","Number","3,481"
"2020S2","Hungary","Total","Number","15,049"
"2020S2","Malta","Total","Number","28,476"
"2020S2","Netherlands","Total","Number","127,073"
"2020S2","Austria","Total","Number","15,691"
"2020S2","Poland","Total","Number","24,066"
"2020S2","Portugal","Total","Number","102,555"
"2020S2","Romania","Total","Number","13,191"
"2020S2","Slovenia","Total","Number","20,370"
"2020S2","Slovakia","Total","Number","32,231"
"2020S2","Finland","Total","Number","30,222"
"2020S2","Sweden","Total","Number","68,358"
"2020S2","United Kingdom","Total","Number","430,190"
"2021S2","Belgium","Total","Number","17,615"
