TIME,GEO,Value
2019,Portugal,101104.0
2019,Romania,13191.0
2019,Slovenia,19945.0
2019,Slovakia,37306.0
2019,Finland,29003.0
2019,Sweden,66409.0
2019,United Kingdom,429989.0
2020,Belgium,14321.0
2020,Bulgaria,35470.0
2020,Czechia,21901.0
2020,Denmark,12197.0
2020,Germany,19369.0
2020,Estonia,6424.0
2020,Ireland,29342.0
2020,Greece,74661.0
2020,Spain,37290.0
2020,France,264104.0
2020,Croatia,12211.0
2020,Italy,132280.0
2020,Cyprus,8746.0
2020,Latvia,13659.0
2020,Lithuania,13597.0
2020,Luxembourg,3481.0
2020,Hungary,15049.0
2020,Malta,28476.0
2020,Netherlands,127073.0
2020,Austria,15691.0
2020,Poland,24066.0
2020,Portugal,102555.0
2020,Romania,13191.0
2020,Slovenia,20370.0
2020,Slovakia,32231.0
2020,Finland,30222.0
2020,Sweden,68358.0
2020,United Kingdom,430190.0
2021,Belgium,17615.0
2021,Bulgaria,36068.0
2021,Czechia,21889.0
2021,Denmark,11816.0
2021,Germany,24224.0
2021,Estonia,6333.0
2021,Ireland,30369.0
2021,Greece,73242.0
2021,Spain,37685.0
2021,France,260626.0
2021,Croatia,12632.0
2021,Italy,124851.0
2021,Cyprus,10193.0
2021,Latvia,14091.0
2021,Lithuania,13977.0
2021,Luxembourg,4011.0
2021,Hungary,15084.0
2021,Malta,29068.0
2021,Netherlands,135437.0
2021,Austria,14892.0
2021,Poland,24161.0
2021,Portugal,106563.0
2021,Romania,436.0
2021,Slovenia,20428.0
2021,Slovakia,32231.0
2021,Finland,31716.0
2021,Sweden,69256.0
2021,United Kingdom,
