time,geo,sex,age,value_mean,value_median
2012,Belgium,Total,18 to 54,23865.0,22750.0
2012,Belgium,Total,18 to 59,23950.0,22754.0
2012,Belgium,Total,18 to 64,23716.0,22452.0
2012,Belgium,Total,18 or over,22365.0,20773.0
2012,Belgium,Total,20 to 64,23833.0,22514.0
2012,Belgium,Total,25 to 54,24269.0,23002.0
2012,Belgium,Total,25 to 59,24311.0,22993.0
2012,Belgium,Total,55 to 64,23157.0,21387.0
2012,Belgium,Total,55 or over,19992.0,17360.0
2012,Belgium,Total,60 or over,18695.0,16543.0
2012,Belgium,Total,65 or over,17674.0,15879.0
2012,Belgium,Males,18 to 54,24168.0,23038.0
2012,Belgium,Males,18 to 59,24343.0,23131.0
2012,Belgium,Males,18 to 64,24070.0,22856.0
2012,Belgium,Males,18 or over,22949.0,21668.0
2012,Belgium,Males,20 to 64,24228.0,22910.0
2012,Belgium,Males,25 to 54,24520.0,23330.0
2012,Belgium,Males,25 to 59,24678.0,23435.0
2012,Belgium,Males,55 to 64,23688.0,21793.0
2012,Belgium,Males,55 or over,20814.0,18333.0
2012,Belgium,Males,60 or over,19327.0,17235.0
2012,Belgium,Males,65 or over,18490.0,16447.0
2012,Belgium,Females,18 to 54,23559.0,22385.0
2012,Belgium,Females,18 to 59,23557.0,22308.0
2012,Belgium,Females,18 to 64,23364.0,21998.0
2012,Belgium,Females,18 or over,21817.0,20018.0
2012,Belgium,Females,20 to 64,23439.0,22060.0
2012,Belgium,Females,25 to 54,24017.0,22741.0
2012,Belgium,Females,25 to 59,23946.0,22650.0
2012,Belgium,Females,55 to 64,22666.0,20559.0
2012,Belgium,Females,55 or over,19307.0,16784.0
2012,Belgium,Females,60 or over,18185.0,16159.0
2012,Belgium,Females,65 or over,17045.0,15381.0
2012,Bulgaria,Total,18 to 54,3505.0,3116.0
2012,Bulgaria,Total,18 to 59,3561.0,3146.0
2012,Bulgaria,Total,18 to 64,3550.0,3116.0
2012,Bulgaria,Total,18 or over,3344.0,2894.0
2012,Bulgaria,Total,20 to 64,3575.0,3140.0
2012,Bulgaria,Total,25 to 54,3546.0,3150.0
2012,Bulgaria,Total,25 to 59,3607.0,3177.0
2012,Bulgaria,Total,55 to 64,3710.0,3115.0
2012,Bulgaria,Total,55 or over,3100.0,2573.0
2012,Bulgaria,Total,60 or over,2864.0,2378.0
2012,Bulgaria,Total,65 or over,2636.0,2210.0
2012,Bulgaria,Males,18 to 54,3501.0,3129.0
2012,Bulgaria,Males,18 to 59,3555.0,3148.0
2012,Bulgaria,Males,18 to 64,3561.0,3148.0
2012,Bulgaria,Males,18 or over,3419.0,2986.0
2012,Bulgaria,Males,20 to 64,3584.0,3162.0
2012,Bulgaria,Males,25 to 54,3540.0,3148.0
2012,Bulgaria,Males,25 to 59,3598.0,3166.0
2012,Bulgaria,Males,55 to 64,3789.0,3211.0
2012,Bulgaria,Males,55 or over,3273.0,2744.0
2012,Bulgaria,Males,60 or over,3060.0,2612.0
2012,Bulgaria,Males,65 or over,2819.0,2432.0
2012,Bulgaria,Females,18 to 54,3508.0,3101.0
2012,Bulgaria,Females,18 to 59,3568.0,3129.0
2012,Bulgaria,Females,18 to 64,3540.0,3068.0
2012,Bulgaria,Females,18 or over,3275.0,2802.0
2012,Bulgaria,Females,20 to 64,3565.0,3110.0
2012,Bulgaria,Females,25 to 54,3553.0,3150.0
2012,Bulgaria,Females,25 to 59,3616.0,3182.0
2012,Bulgaria,Females,55 to 64,3640.0,3003.0
2012,Bulgaria,Females,55 or over,2968.0,2412.0
2012,Bulgaria,Females,60 or over,2722.0,2212.0
2012,Bulgaria,Females,65 or over,2510.0,2066.0
2012,Czechia,Total,18 to 54,9239.0,8373.0
2012,Czechia,Total,18 to 59,9278.0,8422.0
2012,Czechia,Total,18 to 64,9217.0,8313.0
2012,Czechia,Total,18 or over,8865.0,7889.0
2012,Czechia,Total,20 to 64,9273.0,8393.0
2012,Czechia,Total,25 to 54,9436.0,8520.0
2012,Czechia,Total,25 to 59,9454.0,8553.0
2012,Czechia,Total,55 to 64,9138.0,8224.0
2012,Czechia,Total,55 or over,8236.0,7268.0
2012,Czechia,Total,60 or over,7842.0,7029.0
2012,Czechia,Total,65 or over,7445.0,6767.0
2012,Czechia,Males,18 to 54,9410.0,8530.0
2012,Czechia,Males,18 to 59,9446.0,8577.0
2012,Czechia,Males,18 to 64,9418.0,8524.0
2012,Czechia,Males,18 or over,9158.0,8164.0
2012,Czechia,Males,20 to 64,9481.0,8608.0
2012,Czechia,Males,25 to 54,9607.0,8709.0
2012,Czechia,Males,25 to 59,9623.0,8744.0
2012,Czechia,Males,55 to 64,9448.0,8524.0
2012,Czechia,Males,55 or over,8677.0,7582.0
2012,Czechia,Males,60 or over,8336.0,7332.0
2012,Czechia,Males,65 or over,7910.0,7109.0
2012,Czechia,Females,18 to 54,9067.0,8138.0
2012,Czechia,Females,18 to 59,9110.0,8223.0
2012,Czechia,Females,18 to 64,9020.0,8090.0
2012,Czechia,Females,18 or over,8595.0,7619.0
2012,Czechia,Females,20 to 64,9069.0,8131.0
2012,Czechia,Females,25 to 54,9267.0,8340.0
2012,Czechia,Females,25 to 59,9288.0,8397.0
2012,Czechia,Females,55 to 64,8858.0,7889.0
2012,Czechia,Females,55 or over,7884.0,7017.0
2012,Czechia,Females,60 or over,7461.0,6739.0
2012,Czechia,Females,65 or over,7112.0,6547.0
2012,Denmark,Total,18 to 54,30482.0,28817.0
2012,Denmark,Total,18 to 59,31270.0,29461.0
2012,Denmark,Total,18 to 64,31523.0,29429.0
2012,Denmark,Total,18 or over,30026.0,27332.0
2012,Denmark,Total,20 to 64,31862.0,29620.0
2012,Denmark,Total,25 to 54,32134.0,29990.0
2012,Denmark,Total,25 to 59,32829.0,30593.0
2012,Denmark,Total,55 to 64,35288.0,31914.0
2012,Denmark,Total,55 or over,29331.0,24679.0
2012,Denmark,Total,60 or over,27281.0,22937.0
2012,Denmark,Total,65 or over,24995.0,21365.0
2012,Denmark,Males,18 to 54,30534.0,29059.0
2012,Denmark,Males,18 to 59,31248.0,29582.0
2012,Denmark,Males,18 to 64,31727.0,29767.0
2012,Denmark,Males,18 or over,30478.0,28085.0
2012,Denmark,Males,20 to 64,32053.0,29902.0
2012,Denmark,Males,25 to 54,31999.0,30000.0
2012,Denmark,Males,25 to 59,32636.0,30563.0
2012,Denmark,Males,55 to 64,36210.0,33071.0
2012,Denmark,Males,55 or over,30386.0,25573.0
2012,Denmark,Males,60 or over,28625.0,23752.0
2012,Denmark,Males,65 or over,25835.0,21932.0
2012,Denmark,Females,18 to 54,30428.0,28605.0
2012,Denmark,Females,18 to 59,31292.0,29321.0
2012,Denmark,Females,18 to 64,31317.0,29126.0
2012,Denmark,Females,18 or over,29590.0,26694.0
2012,Denmark,Females,20 to 64,31670.0,29319.0
2012,Denmark,Females,25 to 54,32275.0,29967.0
2012,Denmark,Females,25 to 59,33025.0,30615.0
2012,Denmark,Females,55 to 64,34414.0,31067.0
2012,Denmark,Females,55 or over,28405.0,23900.0
2012,Denmark,Females,60 or over,26127.0,22333.0
2012,Denmark,Females,65 or over,24298.0,20964.0
2012,Germany (until 1990 former territory of the FRG),Total,18 to 54,22841.0,20991.0
2012,Germany (until 1990 former territory of the FRG),Total,18 to 59,22991.0,21027.0
2012,Germany (until 1990 former territory of the FRG),Total,18 to 64,22781.0,20706.0
2012,Germany (until 1990 former territory of the FRG),Total,18 or over,22274.0,19859.0
2012,Germany (until 1990 former territory of the FRG),Total,20 to 64,22870.0,20752.0
2012,Germany (until 1990 former territory of the FRG),Total,25 to 54,23378.0,21485.0
2012,Germany (until 1990 former territory of the FRG),Total,25 to 59,23481.0,21462.0
2012,Germany (until 1990 former territory of the FRG),Total,55 to 64,22551.0,19485.0
2012,Germany (until 1990 former territory of the FRG),Total,55 or over,21424.0,18202.0
2012,Germany (until 1990 former territory of the FRG),Total,60 or over,20752.0,17750.0
2012,Germany (until 1990 former territory of the FRG),Total,65 or over,20705.0,17738.0
2012,Germany (until 1990 former territory of the FRG),Males,18 to 54,23512.0,21546.0
2012,Germany (until 1990 former territory of the FRG),Males,18 to 59,23651.0,21622.0
2012,Germany (until 1990 former territory of the FRG),Males,18 to 64,23475.0,21384.0
2012,Germany (until 1990 former territory of the FRG),Males,18 or over,23047.0,20397.0
2012,Germany (until 1990 former territory of the FRG),Males,20 to 64,23601.0,21504.0
2012,Germany (until 1990 former territory of the FRG),Males,25 to 54,24033.0,21930.0
2012,Germany (until 1990 former territory of the FRG),Males,25 to 59,24127.0,22000.0
2012,Germany (until 1990 former territory of the FRG),Males,55 to 64,23332.0,20785.0
2012,Germany (until 1990 former territory of the FRG),Males,55 or over,22335.0,19039.0
2012,Germany (until 1990 former territory of the FRG),Males,60 or over,21738.0,18390.0
2012,Germany (until 1990 former territory of the FRG),Males,65 or over,21706.0,18248.0
2012,Germany (until 1990 former territory of the FRG),Females,18 to 54,22207.0,20559.0
2012,Germany (until 1990 former territory of the FRG),Females,18 to 59,22370.0,20522.0
2012,Germany (until 1990 former territory of the FRG),Females,18 to 64,22133.0,20169.0
2012,Germany (until 1990 former territory of the FRG),Females,18 or over,21556.0,19252.0
2012,Germany (until 1990 former territory of the FRG),Females,20 to 64,22195.0,20193.0
2012,Germany (until 1990 former territory of the FRG),Females,25 to 54,22775.0,21045.0
2012,Germany (until 1990 former territory of the FRG),Females,25 to 59,22886.0,20908.0
2012,Germany (until 1990 former territory of the FRG),Females,55 to 64,21853.0,18397.0
2012,Germany (until 1990 former territory of the FRG),Females,55 or over,20597.0,17655.0
2012,Germany (until 1990 former territory of the FRG),Females,60 or over,19859.0,17295.0
2012,Germany (until 1990 former territory of the FRG),Females,65 or over,19787.0,17355.0
2012,Estonia,Total,18 to 54,7977.0,7122.0
2012,Estonia,Total,18 to 59,7848.0,7000.0
2012,Estonia,Total,18 to 64,7783.0,6869.0
2012,Estonia,Total,18 or over,7309.0,6187.0
2012,Estonia,Total,20 to 64,7846.0,6952.0
2012,Estonia,Total,25 to 54,8314.0,7365.0
2012,Estonia,Total,25 to 59,8113.0,7216.0
2012,Estonia,Total,55 to 64,6934.0,5955.0
2012,Estonia,Total,55 or over,6068.0,4959.0
2012,Estonia,Total,60 or over,5874.0,4816.0
2012,Estonia,Total,65 or over,5434.0,4685.0
2012,Estonia,Males,18 to 54,8133.0,7274.0
2012,Estonia,Males,18 to 59,8001.0,7187.0
2012,Estonia,Males,18 to 64,7923.0,7083.0
2012,Estonia,Males,18 or over,7626.0,6621.0
2012,Estonia,Males,20 to 64,7998.0,7176.0
2012,Estonia,Males,25 to 54,8496.0,7576.0
2012,Estonia,Males,25 to 59,8288.0,7349.0
2012,Estonia,Males,55 to 64,6886.0,5955.0
2012,Estonia,Males,55 or over,6413.0,5237.0
2012,Estonia,Males,60 or over,6285.0,5143.0
2012,Estonia,Males,65 or over,5966.0,5028.0
2012,Estonia,Females,18 to 54,7835.0,6885.0
2012,Estonia,Females,18 to 59,7712.0,6794.0
2012,Estonia,Females,18 to 64,7661.0,6692.0
2012,Estonia,Females,18 or over,7061.0,5861.0
2012,Estonia,Females,20 to 64,7714.0,6762.0
2012,Estonia,Females,25 to 54,8152.0,7234.0
2012,Estonia,Females,25 to 59,7961.0,7088.0
2012,Estonia,Females,55 to 64,6969.0,5989.0
2012,Estonia,Females,55 or over,5866.0,4782.0
2012,Estonia,Females,60 or over,5652.0,4656.0
2012,Estonia,Females,65 or over,5172.0,4418.0
2012,Ireland,Total,18 to 54,23970.0,20955.0
2012,Ireland,Total,18 to 59,24267.0,21258.0
2012,Ireland,Total,18 to 64,24336.0,21151.0
2012,Ireland,Total,18 or over,23800.0,20324.0
2012,Ireland,Total,20 to 64,24642.0,21527.0
2012,Ireland,Total,25 to 54,24681.0,21953.0
2012,Ireland,Total,25 to 59,24942.0,22100.0
2012,Ireland,Total,55 to 64,25789.0,21503.0
2012,Ireland,Total,55 or over,23477.0,19089.0
2012,Ireland,Total,60 or over,22495.0,18027.0
2012,Ireland,Total,65 or over,21362.0,17226.0
2012,Ireland,Males,18 to 54,23910.0,21578.0
2012,Ireland,Males,18 to 59,24252.0,21672.0
2012,Ireland,Males,18 to 64,24294.0,21466.0
2012,Ireland,Males,18 or over,23990.0,20843.0
2012,Ireland,Males,20 to 64,24607.0,21817.0
2012,Ireland,Males,25 to 54,24769.0,22338.0
2012,Ireland,Males,25 to 59,25064.0,22338.0
2012,Ireland,Males,55 to 64,25722.0,21151.0
2012,Ireland,Males,55 or over,24143.0,19864.0
2012,Ireland,Males,60 or over,23246.0,18842.0
2012,Ireland,Males,65 or over,22504.0,18539.0
2012,Ireland,Females,18 to 54,24028.0,20633.0
2012,Ireland,Females,18 to 59,24282.0,20843.0
2012,Ireland,Females,18 to 64,24377.0,20843.0
2012,Ireland,Females,18 or over,23618.0,20009.0
2012,Ireland,Females,20 to 64,24676.0,21205.0
2012,Ireland,Females,25 to 54,24602.0,21363.0
2012,Ireland,Females,25 to 59,24828.0,21551.0
2012,Ireland,Females,55 to 64,25862.0,22010.0
2012,Ireland,Females,55 or over,22839.0,18297.0
2012,Ireland,Females,60 or over,21795.0,17246.0
2012,Ireland,Females,65 or over,20392.0,16496.0
2012,Greece,Total,18 to 54,10681.0,9826.0
2012,Greece,Total,18 to 59,10781.0,9830.0
2012,Greece,Total,18 to 64,10816.0,9847.0
2012,Greece,Total,18 or over,10778.0,9742.0
2012,Greece,Total,20 to 64,10931.0,9906.0
2012,Greece,Total,25 to 54,11011.0,10005.0
2012,Greece,Total,25 to 59,11079.0,10001.0
2012,Greece,Total,55 to 64,11339.0,9966.0
2012,Greece,Total,55 or over,10921.0,9616.0
2012,Greece,Total,60 or over,10772.0,9587.0
2012,Greece,Total,65 or over,10666.0,9513.0
2012,Greece,Males,18 to 54,10879.0,9916.0
2012,Greece,Males,18 to 59,10984.0,9916.0
2012,Greece,Males,18 to 64,10993.0,9922.0
2012,Greece,Males,18 or over,11070.0,9897.0
2012,Greece,Males,20 to 64,11124.0,10043.0
2012,Greece,Males,25 to 54,11191.0,10280.0
2012,Greece,Males,25 to 59,11269.0,10200.0
2012,Greece,Males,55 to 64,11452.0,9998.0
2012,Greece,Males,55 or over,11376.0,9835.0
2012,Greece,Males,60 or over,11266.0,9810.0
2012,Greece,Males,65 or over,11325.0,9800.0
2012,Greece,Females,18 to 54,10475.0,9600.0
2012,Greece,Females,18 to 59,10574.0,9656.0
2012,Greece,Females,18 to 64,10636.0,9675.0
2012,Greece,Females,18 or over,10498.0,9553.0
2012,Greece,Females,20 to 64,10735.0,9789.0
2012,Greece,Females,25 to 54,10823.0,9890.0
2012,Greece,Females,25 to 59,10885.0,9890.0
2012,Greece,Females,55 to 64,11231.0,9905.0
2012,Greece,Females,55 or over,10527.0,9519.0
2012,Greece,Females,60 or over,10352.0,9337.0
2012,Greece,Females,65 or over,10128.0,9240.0
2012,Spain,Total,18 to 54,17115.0,15090.0
2012,Spain,Total,18 to 59,17380.0,15295.0
2012,Spain,Total,18 to 64,17555.0,15383.0
2012,Spain,Total,18 or over,17127.0,14844.0
2012,Spain,Total,20 to 64,17666.0,15499.0
2012,Spain,Total,25 to 54,17461.0,15461.0
2012,Spain,Total,25 to 59,17720.0,15644.0
2012,Spain,Total,55 to 64,19522.0,16519.0
2012,Spain,Total,55 or over,17147.0,14509.0
2012,Spain,Total,60 or over,16513.0,13969.0
2012,Spain,Total,65 or over,15656.0,13544.0
2012,Spain,Males,18 to 54,17151.0,15111.0
2012,Spain,Males,18 to 59,17459.0,15343.0
2012,Spain,Males,18 to 64,17618.0,15452.0
2012,Spain,Males,18 or over,17394.0,15081.0
2012,Spain,Males,20 to 64,17755.0,15591.0
2012,Spain,Males,25 to 54,17520.0,15499.0
2012,Spain,Males,25 to 59,17828.0,15670.0
2012,Spain,Males,55 to 64,19825.0,16825.0
2012,Spain,Males,55 or over,17866.0,15038.0
2012,Spain,Males,60 or over,17213.0,14632.0
2012,Spain,Males,65 or over,16494.0,14091.0
2012,Spain,Females,18 to 54,17079.0,15057.0
2012,Spain,Females,18 to 59,17300.0,15256.0
2012,Spain,Females,18 to 64,17491.0,15288.0
2012,Spain,Females,18 or over,16874.0,14605.0
2012,Spain,Females,20 to 64,17577.0,15388.0
2012,Spain,Females,25 to 54,17400.0,15435.0
2012,Spain,Females,25 to 59,17611.0,15593.0
2012,Spain,Females,55 to 64,19241.0,16240.0
2012,Spain,Females,55 or over,16557.0,13988.0
2012,Spain,Females,60 or over,15959.0,13585.0
2012,Spain,Females,65 or over,15020.0,13064.0
2012,France,Total,18 to 54,24221.0,20956.0
2012,France,Total,18 to 59,24820.0,21318.0
2012,France,Total,18 to 64,25209.0,21542.0
2012,France,Total,18 or over,25535.0,21373.0
2012,France,Total,20 to 64,25345.0,21650.0
2012,France,Total,25 to 54,25029.0,21613.0
2012,France,Total,25 to 59,25626.0,21891.0
2012,France,Total,55 to 64,28582.0,23787.0
2012,France,Total,55 or over,27523.0,22217.0
2012,France,Total,60 or over,27088.0,21578.0
2012,France,Total,65 or over,26679.0,20842.0
2012,France,Males,18 to 54,24603.0,21368.0
2012,France,Males,18 to 59,25232.0,21660.0
2012,France,Males,18 to 64,25646.0,21823.0
2012,France,Males,18 or over,26219.0,21891.0
2012,France,Males,20 to 64,25721.0,21873.0
2012,France,Males,25 to 54,25284.0,21873.0
2012,France,Males,25 to 59,25945.0,22190.0
2012,France,Males,55 to 64,29407.0,24132.0
2012,France,Males,55 or over,28974.0,23299.0
2012,France,Males,60 or over,28640.0,22883.0
2012,France,Males,65 or over,28586.0,22599.0
2012,France,Females,18 to 54,23838.0,20569.0
2012,France,Females,18 to 59,24415.0,20933.0
2012,France,Females,18 to 64,24784.0,21201.0
2012,France,Females,18 or over,24910.0,20865.0
2012,France,Females,20 to 64,24980.0,21340.0
2012,France,Females,25 to 54,24775.0,21275.0
2012,France,Females,25 to 59,25316.0,21660.0
2012,France,Females,55 to 64,27842.0,23477.0
2012,France,Females,55 or over,26367.0,21303.0
2012,France,Females,60 or over,25876.0,20766.0
2012,France,Females,65 or over,25296.0,19843.0
2012,Croatia,Total,18 to 54,6311.0,5678.0
2012,Croatia,Total,18 to 59,6352.0,5701.0
2012,Croatia,Total,18 to 64,6340.0,5675.0
2012,Croatia,Total,18 or over,6098.0,5485.0
2012,Croatia,Total,20 to 64,6382.0,5739.0
2012,Croatia,Total,25 to 54,6420.0,5789.0
2012,Croatia,Total,25 to 59,6452.0,5789.0
2012,Croatia,Total,55 to 64,6447.0,5666.0
2012,Croatia,Total,55 or over,5756.0,5083.0
2012,Croatia,Total,60 or over,5487.0,4882.0
2012,Croatia,Total,65 or over,5212.0,4646.0
2012,Croatia,Males,18 to 54,6265.0,5646.0
2012,Croatia,Males,18 to 59,6336.0,5664.0
2012,Croatia,Males,18 to 64,6334.0,5663.0
2012,Croatia,Males,18 or over,6214.0,5579.0
2012,Croatia,Males,20 to 64,6371.0,5693.0
2012,Croatia,Males,25 to 54,6332.0,5754.0
2012,Croatia,Males,25 to 59,6405.0,5771.0
2012,Croatia,Males,55 to 64,6596.0,5759.0
2012,Croatia,Males,55 or over,6117.0,5456.0
2012,Croatia,Males,60 or over,5856.0,5279.0
2012,Croatia,Males,65 or over,5656.0,5162.0
2012,Croatia,Females,18 to 54,6357.0,5754.0
2012,Croatia,Females,18 to 59,6368.0,5750.0
2012,Croatia,Females,18 to 64,6346.0,5721.0
2012,Croatia,Females,18 or over,5994.0,5377.0
2012,Croatia,Females,20 to 64,6393.0,5759.0
2012,Croatia,Females,25 to 54,6509.0,5870.0
2012,Croatia,Females,25 to 59,6499.0,5826.0
2012,Croatia,Females,55 to 64,6308.0,5646.0
2012,Croatia,Females,55 or over,5481.0,4839.0
2012,Croatia,Females,60 or over,5226.0,4556.0
2012,Croatia,Females,65 or over,4923.0,4323.0
2012,Italy,Total,18 to 54,18907.0,17135.0
2012,Italy,Total,18 to 59,19342.0,17328.0
2012,Italy,Total,18 to 64,19646.0,17467.0
2012,Italy,Total,18 or over,19250.0,16841.0
2012,Italy,Total,20 to 64,19768.0,17600.0
2012,Italy,Total,25 to 54,19186.0,17414.0
2012,Italy,Total,25 to 59,19646.0,17648.0
2012,Italy,Total,55 to 64,22351.0,19065.0
2012,Italy,Total,55 or over,19717.0,16524.0
2012,Italy,Total,60 or over,19077.0,16043.0
2012,Italy,Total,65 or over,18160.0,15461.0
2012,Italy,Males,18 to 54,19303.0,17544.0
2012,Italy,Males,18 to 59,19673.0,17704.0
2012,Italy,Males,18 to 64,20049.0,17930.0
2012,Italy,Males,18 or over,19871.0,17442.0
2012,Italy,Males,20 to 64,20155.0,18018.0
2012,Italy,Males,25 to 54,19565.0,17800.0
2012,Italy,Males,25 to 59,19955.0,18000.0
2012,Italy,Males,55 to 64,22897.0,19451.0
2012,Italy,Males,55 or over,20745.0,17319.0
2012,Italy,Males,60 or over,20301.0,16956.0
2012,Italy,Males,65 or over,19288.0,16283.0
2012,Italy,Females,18 to 54,18503.0,16634.0
2012,Italy,Females,18 to 59,19006.0,16897.0
2012,Italy,Females,18 to 64,19240.0,17072.0
2012,Italy,Females,18 or over,18676.0,16250.0
2012,Italy,Females,20 to 64,19378.0,17193.0
2012,Italy,Females,25 to 54,18801.0,17073.0
2012,Italy,Females,25 to 59,19334.0,17290.0
2012,Italy,Females,55 to 64,21835.0,18547.0
2012,Italy,Females,55 or over,18887.0,15870.0
2012,Italy,Females,60 or over,18125.0,15417.0
2012,Italy,Females,65 or over,17328.0,14841.0
2012,Cyprus,Total,18 to 54,21394.0,18500.0
2012,Cyprus,Total,18 to 59,21922.0,18655.0
2012,Cyprus,Total,18 to 64,22277.0,18611.0
2012,Cyprus,Total,18 or over,21224.0,17627.0
2012,Cyprus,Total,20 to 64,22509.0,18822.0
2012,Cyprus,Total,25 to 54,22121.0,19176.0
2012,Cyprus,Total,25 to 59,22688.0,19400.0
2012,Cyprus,Total,55 to 64,26139.0,19400.0
2012,Cyprus,Total,55 or over,20885.0,15141.0
2012,Cyprus,Total,60 or over,19198.0,13360.0
2012,Cyprus,Total,65 or over,16444.0,12085.0
2012,Cyprus,Males,18 to 54,21222.0,18501.0
2012,Cyprus,Males,18 to 59,21754.0,18655.0
2012,Cyprus,Males,18 to 64,22304.0,18707.0
2012,Cyprus,Males,18 or over,21633.0,17984.0
2012,Cyprus,Males,20 to 64,22583.0,18944.0
2012,Cyprus,Males,25 to 54,22009.0,19133.0
2012,Cyprus,Males,25 to 59,22574.0,19355.0
2012,Cyprus,Males,55 to 64,27098.0,20135.0
2012,Cyprus,Males,55 or over,22509.0,16578.0
2012,Cyprus,Males,60 or over,21251.0,15000.0
2012,Cyprus,Males,65 or over,18247.0,12849.0
2012,Cyprus,Females,18 to 54,21573.0,18500.0
2012,Cyprus,Females,18 to 59,22097.0,18648.0
2012,Cyprus,Females,18 to 64,22249.0,18505.0
2012,Cyprus,Females,18 or over,20816.0,17239.0
2012,Cyprus,Females,20 to 64,22433.0,18644.0
2012,Cyprus,Females,25 to 54,22237.0,19192.0
2012,Cyprus,Females,25 to 59,22807.0,19418.0
2012,Cyprus,Females,55 to 64,25165.0,18586.0
2012,Cyprus,Females,55 or over,19389.0,13759.0
2012,Cyprus,Females,60 or over,17382.0,12198.0
2012,Cyprus,Females,65 or over,14916.0,11635.0
2012,Latvia,Total,18 to 54,5884.0,4929.0
2012,Latvia,Total,18 to 59,5878.0,4926.0
2012,Latvia,Total,18 to 64,5880.0,4886.0
2012,Latvia,Total,18 or over,5622.0,4579.0
2012,Latvia,Total,20 to 64,5935.0,4928.0
2012,Latvia,Total,25 to 54,6036.0,5059.0
2012,Latvia,Total,25 to 59,6010.0,5040.0
2012,Latvia,Total,55 to 64,5859.0,4635.0
2012,Latvia,Total,55 or over,5116.0,3994.0
2012,Latvia,Total,60 or over,4938.0,3878.0
2012,Latvia,Total,65 or over,4623.0,3789.0
2012,Latvia,Males,18 to 54,5952.0,4961.0
2012,Latvia,Males,18 to 59,5931.0,4951.0
2012,Latvia,Males,18 to 64,5946.0,4934.0
2012,Latvia,Males,18 or over,5820.0,4757.0
2012,Latvia,Males,20 to 64,6002.0,4966.0
2012,Latvia,Males,25 to 54,6098.0,5133.0
2012,Latvia,Males,25 to 59,6056.0,5087.0
2012,Latvia,Males,55 to 64,5918.0,4758.0
2012,Latvia,Males,55 or over,5483.0,4305.0
2012,Latvia,Males,60 or over,5409.0,4202.0
2012,Latvia,Males,65 or over,5110.0,4101.0
2012,Latvia,Females,18 to 54,5822.0,4902.0
2012,Latvia,Females,18 to 59,5830.0,4894.0
2012,Latvia,Females,18 to 64,5821.0,4851.0
2012,Latvia,Females,18 or over,5466.0,4404.0
2012,Latvia,Females,20 to 64,5877.0,4893.0
2012,Latvia,Females,25 to 54,5979.0,5014.0
2012,Latvia,Females,25 to 59,5969.0,4976.0
2012,Latvia,Females,55 to 64,5815.0,4584.0
2012,Latvia,Females,55 or over,4906.0,3829.0
2012,Latvia,Females,60 or over,4692.0,3708.0
2012,Latvia,Females,65 or over,4389.0,3600.0
2012,Lithuania,Total,18 to 54,5465.0,4839.0
2012,Lithuania,Total,18 to 59,5469.0,4824.0
2012,Lithuania,Total,18 to 64,5442.0,4782.0
2012,Lithuania,Total,18 or over,5162.0,4383.0
2012,Lithuania,Total,20 to 64,5499.0,4842.0
2012,Lithuania,Total,25 to 54,5619.0,4994.0
2012,Lithuania,Total,25 to 59,5604.0,4933.0
2012,Lithuania,Total,55 to 64,5344.0,4512.0
2012,Lithuania,Total,55 or over,4640.0,3860.0
2012,Lithuania,Total,60 or over,4414.0,3744.0
2012,Lithuania,Total,65 or over,4178.0,3645.0
2012,Lithuania,Males,18 to 54,5459.0,4824.0
2012,Lithuania,Males,18 to 59,5494.0,4824.0
2012,Lithuania,Males,18 to 64,5491.0,4820.0
2012,Lithuania,Males,18 or over,5344.0,4609.0
2012,Lithuania,Males,20 to 64,5570.0,4915.0
2012,Lithuania,Males,25 to 54,5619.0,4956.0
2012,Lithuania,Males,25 to 59,5643.0,4928.0
2012,Lithuania,Males,55 to 64,5650.0,4783.0
2012,Lithuania,Males,55 or over,5084.0,4255.0
2012,Lithuania,Males,60 or over,4844.0,4153.0
2012,Lithuania,Males,65 or over,4612.0,4007.0
2012,Lithuania,Females,18 to 54,5471.0,4847.0
2012,Lithuania,Females,18 to 59,5445.0,4824.0
2012,Lithuania,Females,18 to 64,5398.0,4745.0
2012,Lithuania,Females,18 or over,5015.0,4202.0
2012,Lithuania,Females,20 to 64,5433.0,4784.0
2012,Lithuania,Females,25 to 54,5619.0,5014.0
2012,Lithuania,Females,25 to 59,5567.0,4950.0
2012,Lithuania,Females,55 to 64,5111.0,4254.0
2012,Lithuania,Females,55 or over,4372.0,3640.0
2012,Lithuania,Females,60 or over,4175.0,3534.0
2012,Lithuania,Females,65 or over,3955.0,3439.0
2012,Luxembourg,Total,18 to 54,40213.0,37644.0
2012,Luxembourg,Total,18 to 59,40563.0,37779.0
2012,Luxembourg,Total,18 to 64,40951.0,38307.0
2012,Luxembourg,Total,18 or over,41385.0,38047.0
2012,Luxembourg,Total,20 to 64,41395.0,38713.0
2012,Luxembourg,Total,25 to 54,41738.0,39205.0
2012,Luxembourg,Total,25 to 59,41942.0,39317.0
2012,Luxembourg,Total,55 to 64,43841.0,40482.0
2012,Luxembourg,Total,55 or over,43290.0,38440.0
2012,Luxembourg,Total,60 or over,43331.0,38307.0
2012,Luxembourg,Total,65 or over,42899.0,37307.0
2012,Luxembourg,Males,18 to 54,40707.0,38378.0
2012,Luxembourg,Males,18 to 59,41071.0,38588.0
2012,Luxembourg,Males,18 to 64,41389.0,38699.0
2012,Luxembourg,Males,18 or over,42300.0,38849.0
